20069 1 среднее   0.05    0.03     .       .       .      0.02     .  
20069 2 макси-       1       1       .       .       .       1       .
20069 3 мальное (1953)  (1956)       .       .       .  (2011)       .
20069 4         (1956)  (2001)       .       .       .       .       .
20087 1 среднее    .      0.01     .       .       .      0.01     .  
20087 2 макси-       .       1       .       .       .       1       .
20087 3 мальное      .  (2001)       .       .       .  (2011)       .
20292 1 среднее    .       .       .       .       .       .      0.04
20292 2 макси-       .       .       .       .       .       .       2
20292 3 мальное      .       .       .       .       .       .  (2007)
20476 1 среднее   0.76     .       .       .       .       .      0.11
20476 2 макси-       4       .       .       .       .       .       4
20476 3 мальное (1983)       .       .       .       .       .  (2007)
20476 4         (1987)       .       .       .       .       .       .
20667 1 среднее   0.06     .       .       .      0.01     .      0.23
20667 2 макси-       2       .       .       .       1       .       5
20667 3 мальное (2007)       .       .       .  (1984)       .  (1962)
20674 1 среднее   0.23    0.01     .       .       .       .      0.10
20674 2 макси-       5       1       .       .       .       .       2
20674 3 мальное (1948)  (1987)       .       .       .       .  (1943)
20674 4              .       .       .       .       .       .  (1972)
20744 1 среднее  11.47    5.49    2.40    0.11    0.10    0.07    0.09
20744 2 макси-      24      17      15       2       2       1       3
20744 3 мальное (2007)  (1954)  (1953)  (1955)  (1954)  (1959)  (1943)
20744 4              .       .       .  (2008)  (1991)  (1968)       .
20891 1 среднее   0.26     .       .       .       .      0.08    2.19
20891 2 макси-       4       .       .       .       .       3      13
20891 3 мальное (1997)       .       .       .       .  (2011)  (1997)
20891 4              .       .       .       .       .       .  (2007)
20982 1 среднее   0.44     .       .       .      0.03    0.21    3.56
20982 2 макси-       5       .       .       .       2       2      16
20982 3 мальное (1997)       .       .       .  (1995)  (1943)  (1997)
20982 4              .       .       .       .       .  (1961)       .
21432 1 среднее   0.05     .       .       .       .       .       .  
21432 2 макси-       2       .       .       .       .       .       .
21432 3 мальное (1947)       .       .       .       .       .       .
21802 1 среднее   0.12     .       .       .       .      0.07    1.55
21802 2 макси-       3       .       .       .       .       2      10
21802 3 мальное (1948)       .       .       .       .  (2008)  (1997)
21802 4              .       .       .       .       .  (2011)       .
21908 1 среднее   0.42     .       .       .       .       .      2.34
21908 2 макси-       4       .       .       .       .       .      13
21908 3 мальное (1954)       .       .       .       .       .  (2007)
21908 4         (1967)       .       .       .       .       .       .
21921 1 среднее   0.05     .       .       .       .       .      1.09
21921 2 макси-       2       .       .       .       .       .       6
21921 3 мальное (1967)       .       .       .       .       .  (1943)
21931 1 среднее   0.01     .       .       .       .       .      0.96
21931 2 макси-       1       .       .       .       .       .       7
21931 3 мальное (1967)       .       .       .       .       .  (1943)
21931 4              .       .       .       .       .       .  (2011)
21946 1 среднее   0.01     .       .       .       .       .      0.42
21946 2 макси-       1       .       .       .       .       .       5
21946 3 мальное (1947)       .       .       .       .       .  (2011)
21982 1 среднее   1.02    0.09    0.03    0.02     .       .      0.02
21982 2 макси-       8       3       2       1       .       .       1
21982 3 мальное (2006)  (1996)  (1983)  (1942)       .       .  (1940)
21982 4              .       .       .  (2004)       .       .  (1963)
22113 1 среднее   3.63    1.44    1.04    2.36    1.86    4.15   10.58
22113 2 макси-       6       5       6      10       9      16      18
22113 3 мальное (1936)  (1938)  (2013)  (1964)  (1959)  (1959)  (1973)
22113 4         (1939)  (1941)       .       .  (1990)  (1989)  (2010)
22165 1 среднее    .     13.87    6.76    2.08    0.77    1.22    4.47
22165 2 макси-       .      26      23      13       6      11      14
22165 3 мальное      .  (1936)  (1953)  (1930)  (1921)  (1959)  (1962)
22165 4              .  (1986)  (2011)       .       .       .       .
22217 1 среднее   4.28    1.66    1.09    2.31    1.53    3.79   11.76
22217 2 макси-       7       6       7      17       8      16      18
