20069 1 среднее     .      .      .     1.55   5.75   3.78   0.06    .     2.79
20069 2 макси-        .      .      .      8     14     11      2      .     14
20069 3 мальное       .      .      . (1973) (1957) (1975) (1985)      . (1957)
20069 4               .      .      .      .      . (2008)      .      .      .
20087 1 среднее     .      .      .     1.74   4.81   3.28   0.08    .     2.48
20087 2 макси-        .      .      .      7     13     11      2      .     13
20087 3 мальное       .      .      . (2010) (1957) (1959) (1985)      . (1957)
20087 4               .      .      .      .      .      . (1997)      .      .
20292 1 среднее     .      .     0.07   1.77   7.44   3.99   0.24    .     2.70
20292 2 макси-        .      .      2     12     16     11      5      .     16
20292 3 мальное       .      . (2011) (2001) (1943) (1983) (1936)      . (1943)
20292 4               .      .      .      . (1960) (2001)      .      . (1960)
20476 1 среднее     .      .      .     2.20   4.17   4.06   2.52    .     3.24
20476 2 макси-        .      .      .      9     12     13      8      .     13
20476 3 мальное       .      .      . (2011) (1977) (1987) (1993)      . (1987)
20476 4               .      .      .      .      .      . (2009)      .      .
20667 1 среднее     .     0.01   0.05   3.71   3.96   1.29   3.68   0.07   1.82
20667 2 макси-        .      1      1     14     16      7     10      2     16
20667 3 мальное       . (1947) (1952) (2010) (1934) (1978) (1953) (1985) (1934)
20667 4               .      . (1991)      .      .      .      .      .      .
20674 1 среднее     .      .      .     3.42   3.58   2.11   2.59   0.05   2.35
20674 2 макси-        .      .      .     11     12     10     10      1     12
20674 3 мальное       .      .      . (1939) (1968) (1960) (2014) (1947) (1968)
20674 4               .      .      .      .      . (1969)      . (2007)      .
20744 1 среднее     .      .     0.06   3.21   0.46   0.50   3.13   1.45   1.47
20744 2 макси-        .      .      2     15      5      4     10      8     15
20744 3 мальное       .      . (1992) (1947) (1999) (1978) (1953) (2009) (1947)
20891 1 среднее     .     0.05   0.36   2.33   0.01   0.71   3.52    .     1.16
20891 2 макси-        .      3      3      9      1      5     10      .     10
20891 3 мальное       . (1943) (1942) (1951) (1949) (1972) (1985)      . (1985)
20891 4               .      . (1943) (1998)      .      .      .      .      .
20982 1 среднее     .     0.12   0.74   2.45   0.01   1.03   4.01    .     1.39
