20069 О.Визе                  1  79.50   76.98   11 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20087 О.Голомянный            1  79.55   90.62    8 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20292 Им.Е.К.Федорова         1  77.72  104.30   15 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20476 Мыс Стерлегова          1  75.42   88.90    9 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20667 Им.Попова               1  73.33   70.05    4 Ямало-Ненецкий а.о.                                                                                
20674 О.Диксон                1  73.50   80.40   47 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20744 Малые Кармакулы         1  72.37   52.70   18 Ненецкий а.о.                                                                                      
20891 Хатанга                 1  71.98  102.47   32 Таймырский (Долгано-Ненецкий) м.р.                                                                 
20982 Волочанка              21  70.97   94.50   37 Таймырский (Долгано-Ненецкий) м.р.                                                                 
21432 О.Котельный            24  76.00  137.87   10 Респ. Саха (Якутия)                                                                                
21802 Саскылах               24  71.97  114.08   16 Респ. Саха (Якутия)                                                                                
21908 Джалинда               24  70.13  113.97   61 Респ. Саха (Якутия)                                                                                
21921 Кюсюр                  24  70.68  127.40   30 Респ. Саха (Якутия)                                                                                
21931 Юбилейная              24  70.77  136.22   23 Респ. Саха (Якутия)                                                                                
21946 Чокурдах               24  70.62  147.88   44 Респ. Саха (Якутия)                                                                                
21982 О.Врангеля             38  70.98  178.48    2 Чукотский а.о.                     Переносы:1929,1932,1934 -1км                                    
22113 Мурманск                2  68.97   33.05   57 Мурманская обл.                    Перенос 1934-2,5км Ю                                            
22165 Канин Нос               1  68.65   43.30   48 Ненецкий а.о.                                                                                      
22217 Кандалакша              2  67.15   32.35   26 Мурманская обл.                    Перенос 1958-5км СЗ                                             
22235 Краснощелье             2  67.35   37.05  155 Мурманская обл.                                                                                    
22471 Мезень                  1  65.87   44.22   14 Архангельская обл.                                                                                 
22520 Кемь-порт               1  64.98   34.80    7 Респ. Карелия                                                                                      
22550 Архангельск             1  64.50   40.73    8 Архангельская обл.                                                                                 
22619 Паданы                  3  63.27   33.42  130 Респ. Карелия                                                                                      
22641 Онега                   1  63.90   38.12   11 Архангельская обл.                                                                                 
22676 Сура                    1  63.58   45.63   62 Архангельская обл.                                                                                 
22768 Шенкурск                1  62.10   42.90   40 Архангельская обл.                                                                                 
22802 Сортавала               3  61.72   30.72   17 Респ. Карелия                      Перенос 1948-3км СВ                                             
22820 Петрозаводск            3  61.82   34.27  110 Респ. Карелия                      Перенос 1954-1км СВ                                             
22837 Вытегра                 1  61.02   36.45   55 Вологодская обл.                   Перенос 1932-1км СВ                                             
23022 Амдерма                 1  69.75   61.70   53 Ненецкий а.о.                                                                                      
23032 Марресаля,мыс           1  69.72   66.80   24 Ямало-Ненецкий а.о.                                                                                
23058 Антипаюта               1  69.08   76.90    2 Ямало-Ненецкий а.о.                                                                                
23074 Дудинка                21  69.40   86.17   14 Таймырский (Долгано-Ненецкий) м.р.                                                                 
23205 Нарьян-Мар              1  67.63   53.03    5 Ненецкий а.о.                                                                                      
23242 Новый Порт              1  67.68   72.88   11 Ямало-Ненецкий а.о.                                                                                
23256 Тазовск                17  67.47   78.73   26 Ямало-Ненецкий а.о.                Переносы:1935-2км СЗ;1938-2км С                                 
23274 Игарка                 21  67.47   86.57   20 Красноярский край                  Переносы:1931,1938,1951,1954                                    
23324 Петрунь                 1  66.43   60.77   61 Респ. Коми                                                                                         
23330 Салехард, ЦГМС-2       17  66.50   66.68   15 Ямало-Ненецкий а.о.                Переносы:1973-2км В;2002-2км В                                  
23383 Агата                  21  66.88   93.47  277 Эвенкийский м.р.                                                                                   
23405 Усть-Цильма             1  65.43   52.27   78 Респ. Коми                                                                                         
23445 Надым                  17  65.47   72.67   14 Ямало-Ненецкий а.о.                Переносы:1963-10км ЮЗ;1977-10км ЮВ                              
23463 Янов Стан              21  65.98   84.27   41 Красноярский край                                                                                  
23472 Туруханск              21  65.78   87.93   38 Красноярский край                                                                                  
23552 Тарко-Сале,ОГМС        17  64.92   77.82   26 Ямало-Ненецкий а.о.                Переносы:1958-2км ЮВ;1967-2км С;1992-1,5км ЮЗ                   
23631 Березово               17  63.93   65.05   27 Ханты-Мансийский а.о.              Переносы:1969-2км ЮЮЗ;1983-1,5км ЮЗ                             
23662 Толька                 17  63.98   82.08   31 Ямало-Ненецкий а.о.                                                                                
23678 Верхнеимбатск          21  63.15   87.95   46 Красноярский край                                                                                  
23711 Троицко-Печорское       1  62.70   56.20  135 Респ. Коми                                                                                         
23724 Няксимволь             17  62.43   60.87   50 Ханты-Мансийский а.о.              Перенос 1935-1км ЮЗ                                             
23734 Октябрьское            17  62.45   66.05   70 Ханты-Мансийский а.о.              Перенос 1962-1,5км С                                            
23867 Ларьяк                 17  61.10   80.25   62 Ханты-Мансийский а.о.                                                                              
23884 Бор                    21  61.60   90.02   62 Красноярский край                  Переносы:1957-1,5км В;1976-2,5км ЮВ                             
23891 Байкит                 21  61.67   96.37  256 Эвенкийский м.р.                                                                                   
23914 Чердынь                 9  60.40   56.52  208 Пермский край                                                                                      
23921 Ивдель                  9  60.68   60.45   93 Свердловская обл.                  Перенос 1959-3,5км ЮВ                                           
23933 Ханты-Мансийск,ЦГМС-2  17  61.02   69.03   47 Ханты-Мансийский а.о.              1960-закрыта Х-М,Самарово;1961-открыта новая ст.                
23955 Александровское        20  60.43   77.87   47 Томская обл.                                                                                       
23966 Ванжиль-Кынак          20  60.35   84.08   98 Томская обл.                                                                                       
23986 Северо-Енисейский      21  60.38   93.03  513 Красноярский край                                                                                  
24125 Оленек                 24  68.50  112.43  217 Респ. Саха (Якутия)                                                                                
24136 Сухана                 24  68.62  118.33   78 Респ. Саха (Якутия)                                                                                
24143 Джарджан               24  68.73  124.00   38 Респ. Саха (Якутия)                                                                                
24266 Верхоянск              24  67.57  133.40  136 Респ. Саха (Якутия)                                                                                
24329 Шелагонцы              24  66.25  114.28  233 Респ. Саха (Якутия)                                                                                
24343 Жиганск                24  66.77  123.40   88 Респ. Саха (Якутия)                                                                                
24382 Усть-Мома              24  66.45  143.23  195 Респ. Саха (Якутия)                                                                                
24507 Тура                   21  64.27  100.23  188 Эвенкийский м.р.                                                                                   
24606 Кислокан               21  63.58  103.97  209 Эвенкийский м.р.                                                                                   
24641 Вилюйск                24  63.78  121.62  110 Респ. Саха (Якутия)                                                                                
24661 Сеген-Кюель            24  64.00  130.30  208 Респ. Саха (Якутия)                                                                                
24671 Томпо                  24  63.95  135.87  399 Респ. Саха (Якутия)                                                                                
24688 Оймякон                24  63.25  143.15  739 Респ. Саха (Якутия)                                                                                
24713 Наканно                22  62.88  108.43  246 Иркутская обл.                                                                                     
24738 Сунтар                 24  62.15  117.65  131 Респ. Саха (Якутия)                                                                                
24790 Сусуман                33  62.78  148.17  645 Магаданская обл.                   перенос 1953-1,5 км З                                           
24817 Ербогачен              22  61.27  108.02  284 Иркутская обл.                                                                                     
24908 Ванавара               21  60.33  102.27  259 Эвенкийский м.р.                                                                                   
24959 Якутск                 24  62.02  129.72   98 Респ. Саха (Якутия)                                                                                
24966 Усть-Мая               24  60.38  134.45  169 Респ. Саха (Якутия)                                                                                
